[0-0][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-1][est]:0.812604163936, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]64.9986264231,[2]64.9986264231 
[0-2][est]:0.768656694494, [payload]:0, [Metric-SINR]:[0]30.0178711443,[1]35.8615788284,[2]64.9986264231 
[0-3][est]:0.761620546646, [payload]:da, [Metric-SINR]:[0]30.0178711443,[1]30.0178711443,[2]35.8615788284 
[0-4][est]:0.758764370246, [payload]:f0, [Metric-SINR]:[0]28.2025264485,[1]30.0178711443,[2]30.0178711443 
[0-5][est]:0.752983229395, [payload]:3, [Metric-SINR]:[0]26.6488767108,[1]28.2025264485,[2]30.0178711443 
[0-6][est]:0.752984127513, [payload]:0, [Metric-SINR]:[0]28.2025264485,[1]26.6488767108,[2]28.2025264485 
[0-7][est]:0.767262022105, [payload]:0, [Metric-SINR]:[0]32.3255133388,[1]32.3255133388,[2]28.2025264485 
[0-8][est]:0.771432306999, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]32.3255133388,[2]32.3255133388 
[0-9][est]:0.775548465916, [payload]:0, [Metric-SINR]:[0]35.8615788284,[1]35.8615788284,[2]32.3255133388 
[0-10][est]:0.812614825473, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]35.8615788284,[2]35.8615788284 
[0-11][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]35.8615788284 
[0-12][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-13][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-14][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-15][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-16][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-17][est]:0.844775866885, [payload]:d, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-18][est]:0.844775866885, [payload]:f0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-19][est]:0.844775866885, [payload]:a, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-20][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[0-21][est]:0.844775866885, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
