[0-0][est]:0.000316152768236, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]1,[3]0,[4]0,[5]0 
[0-1][est]:0.000323675078682, [payload]:0, [Metric-RSSI]:[0]1.0,[1]3,[2]1,[3]0,[4]0,[5]0 
[0-2][est]:0.000331377408645, [payload]:0, [Metric-RSSI]:[0]1.0,[1]3,[2]3,[3]1,[4]0,[5]0 
[0-3][est]:0.000339262641727, [payload]:da, [Metric-RSSI]:[0]1.0,[1]4,[2]3,[3]3,[4]1,[5]0 
[0-4][est]:0.000344623219188, [payload]:f0, [Metric-RSSI]:[0]1.0,[1]5,[2]4,[3]3,[4]3,[5]1 
[0-5][est]:0.000347335772061, [payload]:3, [Metric-RSSI]:[0]1.0,[1]4,[2]5,[3]4,[4]3,[5]3 
[0-6][est]:0.000341933419456, [payload]:0, [Metric-RSSI]:[0]1.0,[1]2,[2]4,[3]5,[4]4,[5]3 
[0-7][est]:0.000326223186463, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]2,[3]2,[4]4,[5]5 
[0-8][est]:0.000323675843353, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]2,[4]2,[5]4 
[0-9][est]:0.000318640959759, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]1,[3]1,[4]2,[5]2 
[0-10][est]:0.000316152804424, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]1,[4]1,[5]2 
[0-11][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]1,[5]1 
[0-12][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]1 
[0-13][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-14][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-15][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-16][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-17][est]:0.000313684036219, [payload]:d, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-18][est]:0.000313684036219, [payload]:f0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-19][est]:0.000313684036219, [payload]:a, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-20][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-21][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-22][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-23][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-24][est]:0.000316152430972, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]0,[3]0,[4]0,[5]0 
[0-25][est]:0.000318640583369, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]0,[4]0,[5]0 
[0-26][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]0,[5]0 
[0-27][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]1,[5]0 
[0-28][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]1,[5]1 
[0-29][est]:0.000318640959759, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]1,[3]1,[4]1,[5]1 
[0-30][est]:0.000316152804424, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]1,[4]1,[5]1 
[0-31][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]1,[5]1 
[0-32][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]1 
[0-33][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-34][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-35][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-36][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-37][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-38][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-39][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-40][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-41][est]:0.000316152430972, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]0,[3]0,[4]0,[5]0 
[0-42][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]0,[5]0 
[0-43][est]:0.000321148348251, [payload]:0, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]1,[4]1,[5]0 
