[0-0][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-1][est]:0.686433677564, [payload]:0, [Metric-SINR]:[0]1.0,[1]35.8615788284,[2]64.9986264231,[3]64.9986264231 
[0-2][est]:0.626475049271, [payload]:0, [Metric-SINR]:[0]1.0,[1]30.0178711443,[2]35.8615788284,[3]64.9986264231 
[0-3][est]:0.617264316581, [payload]:da, [Metric-SINR]:[0]1.0,[1]30.0178711443,[2]30.0178711443,[3]35.8615788284 
[0-4][est]:0.613555064716, [payload]:f0, [Metric-SINR]:[0]1.0,[1]28.2025264485,[2]30.0178711443,[3]30.0178711443 
[0-5][est]:0.606098105093, [payload]:3, [Metric-SINR]:[0]1.0,[1]26.6488767108,[2]28.2025264485,[3]30.0178711443 
[0-6][est]:0.60609893716, [payload]:0, [Metric-SINR]:[0]1.0,[1]28.2025264485,[2]26.6488767108,[3]28.2025264485 
[0-7][est]:0.624640801855, [payload]:0, [Metric-SINR]:[0]1.0,[1]32.3255133388,[2]32.3255133388,[3]28.2025264485 
[0-8][est]:0.630136265148, [payload]:0, [Metric-SINR]:[0]1.0,[1]35.8615788284,[2]32.3255133388,[3]32.3255133388 
[0-9][est]:0.635596997645, [payload]:0, [Metric-SINR]:[0]1.0,[1]35.8615788284,[2]35.8615788284,[3]32.3255133388 
[0-10][est]:0.686444554817, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]35.8615788284,[3]35.8615788284 
[0-11][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]35.8615788284 
[0-12][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-13][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-14][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-15][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-16][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-17][est]:0.733165660628, [payload]:d, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-18][est]:0.733165660628, [payload]:f0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-19][est]:0.733165660628, [payload]:a, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-20][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-21][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-22][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-23][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-24][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-25][est]:0.686433677564, [payload]:0, [Metric-SINR]:[0]1.0,[1]35.8615788284,[2]64.9986264231,[3]64.9986264231 
[0-26][est]:0.635596997645, [payload]:0, [Metric-SINR]:[0]1.0,[1]35.8615788284,[2]35.8615788284,[3]64.9986264231 
[0-27][est]:0.635596997645, [payload]:0, [Metric-SINR]:[0]1.0,[1]35.8615788284,[2]35.8615788284,[3]35.8615788284 
