[0-0][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-1][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-2][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-3][est]:3.21958373448e-34, [payload]:da, [Metric-SINR]:[0]-39.0013730306 
[0-4][est]:3.21958373448e-34, [payload]:f0, [Metric-SINR]:[0]-39.0013730306 
[0-5][est]:3.21958373448e-34, [payload]:3, [Metric-SINR]:[0]-39.0013730307 
[0-6][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730308 
[0-7][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730306 
[0-8][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730306 
[0-9][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-10][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-11][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-12][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-13][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-14][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-15][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-16][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-17][est]:3.21958373448e-34, [payload]:d, [Metric-SINR]:[0]-39.0013730305 
[0-18][est]:3.21958373448e-34, [payload]:f0, [Metric-SINR]:[0]-39.0013730305 
[0-19][est]:3.21958373448e-34, [payload]:a, [Metric-SINR]:[0]-39.0013730305 
[0-20][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-21][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-22][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-23][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-24][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-25][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-26][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-27][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-28][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-29][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-30][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-31][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-32][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-33][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-34][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-35][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-36][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-37][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-38][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-39][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-40][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-41][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-42][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-43][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-44][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-45][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-46][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-47][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-48][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-49][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-50][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-51][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[0-52][est]:3.21958373448e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
