[0-0][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-1][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]1 
[0-2][est]:0.946777733353, [payload]:0, [Metric-RSSI]:[0]0,[1]1,[2]3 
[0-3][est]:0.999860669446, [payload]:da, [Metric-RSSI]:[0]1,[1]3,[2]3 
[0-4][est]:0.9999974476, [payload]:f0, [Metric-RSSI]:[0]3,[1]3,[2]4 
[0-5][est]:0.999999654562, [payload]:3, [Metric-RSSI]:[0]3,[1]4,[2]5 
[0-6][est]:0.999999993673, [payload]:0, [Metric-RSSI]:[0]4,[1]5,[2]4 
[0-7][est]:0.999997447591, [payload]:0, [Metric-RSSI]:[0]4,[1]2,[2]2 
[0-8][est]:0.999860668964, [payload]:0, [Metric-RSSI]:[0]2,[1]2,[2]1 
[0-9][est]:0.998971412062, [payload]:0, [Metric-RSSI]:[0]2,[1]1,[2]1 
[0-10][est]:0.992449507689, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]0 
[0-11][est]:0.946777558969, [payload]:0, [Metric-RSSI]:[0]1,[1]0,[2]0 
[0-12][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-13][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-14][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-15][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-16][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-17][est]:0.706533718653, [payload]:d, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-18][est]:0.706533718653, [payload]:f0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-19][est]:0.706533718653, [payload]:a, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-20][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-21][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-22][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-23][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-24][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[0-25][est]:0.706533718653, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]1 
[0-26][est]:0.946777733353, [payload]:0, [Metric-RSSI]:[0]0,[1]1,[2]1 
[0-27][est]:0.992449507689, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[0-28][est]:0.992449507689, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
