[0-0][est]:0.116478718359, [payload]:ae, [RSSI]:227 
[0-1][est]:0.116478718359, [payload]:88, [RSSI]:227 
[0-2][est]:0.116478718359, [payload]:4, [RSSI]:227 
[0-3][est]:0.116478718359, [payload]:22, [RSSI]:227 
[0-4][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-5][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-6][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-7][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-8][est]:0.116478718359, [payload]:3f, [RSSI]:227 
[0-9][est]:0.116478718359, [payload]:ef, [RSSI]:227 
[0-10][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-11][est]:0.116478718359, [payload]:e0, [RSSI]:227 
[0-12][est]:0.116478718359, [payload]:a, [RSSI]:227 
[0-13][est]:0.116478718359, [payload]:d0, [RSSI]:227 
[0-14][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-15][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-16][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-17][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-18][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-19][est]:0.116478718359, [payload]:e4, [RSSI]:227 
[0-20][est]:0.116478718359, [payload]:c0, [RSSI]:227 
[0-21][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-22][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-23][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-24][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-25][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-26][est]:0.116478718359, [payload]:ef, [RSSI]:227 
[0-27][est]:0.116478718359, [payload]:f0, [RSSI]:227 
[0-28][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-29][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-30][est]:0.116478718359, [payload]:90, [RSSI]:227 
[0-31][est]:0.116478718359, [payload]:cf, [RSSI]:227 
[0-32][est]:0.116478718359, [payload]:10, [RSSI]:227 
[0-33][est]:0.116478718359, [payload]:1, [RSSI]:227 
[0-34][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-35][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-36][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-37][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-38][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-39][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-40][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-41][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-42][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-43][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-44][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-45][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-46][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-47][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-48][est]:0.116478718359, [payload]:b8, [RSSI]:227 
[0-49][est]:0.116478718359, [payload]:37, [RSSI]:227 
[0-50][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-51][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-52][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-53][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-54][est]:0.116478718359, [payload]:c9, [RSSI]:227 
[0-55][est]:0.116478718359, [payload]:f, [RSSI]:227 
[0-56][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-57][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-58][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-59][est]:0.116478718359, [payload]:f0, [RSSI]:227 
[0-60][est]:0.116478718359, [payload]:c, [RSSI]:227 
[0-61][est]:0.116478718359, [payload]:c0, [RSSI]:227 
[0-62][est]:0.116478718359, [payload]:0, [RSSI]:227 
[0-63][est]:0.116478718359, [payload]:90, [RSSI]:227 
[0-64][est]:0.116478718359, [payload]:18, [RSSI]:227 
[0-65][est]:0.116478718359, [payload]:d0, [RSSI]:227 
[0-66][est]:0.116478718359, [payload]:c, [RSSI]:227 
[0-67][est]:0.116478718359, [payload]:0, [RSSI]:227 
