[0-0][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-1][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-2][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-3][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-4][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-5][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-6][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-7][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-8][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-9][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-10][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313665e-08 
[0-11][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313662e-08 
[0-12][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313655e-08 
[0-13][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313655e-08 
[0-14][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313658e-08 
[0-15][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313664e-08 
[0-16][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313664e-08 
[0-17][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-18][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-19][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-20][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-21][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-22][est]:0.705537796636, [payload]:fb, [RSSI]:3.93095313666e-08 
[0-23][est]:0.705537796636, [payload]:e0, [RSSI]:3.93095313666e-08 
[0-24][est]:0.705537796636, [payload]:d, [RSSI]:3.93095313666e-08 
[0-25][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-26][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-27][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-28][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-29][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-30][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-31][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
[0-32][est]:0.705537796636, [payload]:0, [RSSI]:3.93095313666e-08 
