[pilot][30-0][raw_rssi]:233, [spredRSSI]:237, [raw_data]:0
[30-1][raw_rssi]:233, [spredRSSI]:237, [raw_data]:0
[30-2][raw_rssi]:233, [spredRSSI]:240, [raw_data]:0
[30-3][raw_rssi]:233, [spredRSSI]:242, [raw_data]:0
[30-4][raw_rssi]:233, [spredRSSI]:245, [raw_data]:0
[30-5][raw_rssi]:233, [spredRSSI]:245, [raw_data]:0
[30-6][raw_rssi]:233, [spredRSSI]:246, [raw_data]:0
[30-7][raw_rssi]:233, [spredRSSI]:246, [raw_data]:0
[pilot][30-8][raw_rssi]:233, [spredRSSI]:246, [raw_data]:0
[30-9][raw_rssi]:233, [spredRSSI]:246, [raw_data]:0
[30-10][raw_rssi]:233, [spredRSSI]:246, [raw_data]:0
[30-11][raw_rssi]:233, [spredRSSI]:246, [raw_data]:0
[30-12][raw_rssi]:235, [spredRSSI]:246, [raw_data]:0
[30-13][raw_rssi]:236, [spredRSSI]:246, [raw_data]:0
[30-14][raw_rssi]:237, [spredRSSI]:246, [raw_data]:0
[30-15][raw_rssi]:237, [spredRSSI]:244, [raw_data]:0
[pilot][30-16][raw_rssi]:235, [spredRSSI]:243, [raw_data]:0
[30-17][raw_rssi]:234, [spredRSSI]:240, [raw_data]:d0
[30-18][raw_rssi]:233, [spredRSSI]:240, [raw_data]:ab
[30-19][raw_rssi]:233, [spredRSSI]:238, [raw_data]:33
[30-20][raw_rssi]:233, [spredRSSI]:236, [raw_data]:1d
[30-21][raw_rssi]:233, [spredRSSI]:236, [raw_data]:e5
[30-22][raw_rssi]:233, [spredRSSI]:236, [raw_data]:96
[30-23][raw_rssi]:233, [spredRSSI]:236, [raw_data]:bb
[pilot][30-24][raw_rssi]:233, [spredRSSI]:236, [raw_data]:db
[30-25][raw_rssi]:233, [spredRSSI]:236, [raw_data]:ae
[30-26][raw_rssi]:233, [spredRSSI]:236, [raw_data]:e2
[30-27][raw_rssi]:233, [spredRSSI]:236, [raw_data]:a1
[30-28][raw_rssi]:233, [spredRSSI]:236, [raw_data]:f
[30-29][raw_rssi]:233, [spredRSSI]:236, [raw_data]:90
[30-30][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[30-31][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[pilot][30-32][raw_rssi]:233, [spredRSSI]:236, [raw_data]:0
[30-33][raw_rssi]:234, [spredRSSI]:236, [raw_data]:0
[30-34][raw_rssi]:235, [spredRSSI]:236, [raw_data]:0
[30-35][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-36][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-37][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-38][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-39][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[pilot][30-40][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-41][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-42][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-43][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-44][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-45][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-46][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-47][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[pilot][30-48][raw_rssi]:237, [spredRSSI]:236, [raw_data]:0
[30-49][raw_rssi]:237, [spredRSSI]:236, [raw_data]:0
[30-50][raw_rssi]:237, [spredRSSI]:236, [raw_data]:0
[30-51][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-52][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-53][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-54][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-55][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[pilot][30-56][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-57][raw_rssi]:236, [spredRSSI]:239, [raw_data]:0
[30-58][raw_rssi]:236, [spredRSSI]:240, [raw_data]:0
[30-59][raw_rssi]:237, [spredRSSI]:241, [raw_data]:0
[30-60][raw_rssi]:236, [spredRSSI]:241, [raw_data]:0
[30-61][raw_rssi]:236, [spredRSSI]:241, [raw_data]:0
[30-62][raw_rssi]:236, [spredRSSI]:241, [raw_data]:0
[30-63][raw_rssi]:236, [spredRSSI]:241, [raw_data]:ef
[pilot][30-64][raw_rssi]:236, [spredRSSI]:241, [raw_data]:e0
[30-65][raw_rssi]:236, [spredRSSI]:241, [raw_data]:6
[30-66][raw_rssi]:236, [spredRSSI]:240, [raw_data]:0
[30-67][raw_rssi]:236, [spredRSSI]:238, [raw_data]:d0
[30-68][raw_rssi]:236, [spredRSSI]:236, [raw_data]:b
[30-69][raw_rssi]:236, [spredRSSI]:236, [raw_data]:c
[30-70][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-71][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[pilot][30-72][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-73][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-74][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-75][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-76][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-77][raw_rssi]:236, [spredRSSI]:236, [raw_data]:0
[30-78][raw_rssi]:236, [spredRSSI]:238, [raw_data]:0
[30-79][raw_rssi]:237, [spredRSSI]:239, [raw_data]:0
[pilot][30-80][raw_rssi]:236, [spredRSSI]:241, [raw_data]:c0
[30-81][raw_rssi]:236, [spredRSSI]:240, [raw_data]:9
[30-82][raw_rssi]:236, [spredRSSI]:240, [raw_data]:f0
[30-83][raw_rssi]:236, [spredRSSI]:238, [raw_data]:0
[30-84][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[30-85][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[30-86][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[30-87][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
[pilot][30-88][raw_rssi]:-1, [spredRSSI]:236, [raw_data]:0
