[0-0][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-1][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-2][est]:0.946863611764, [payload]:0, [RSSI]:232 
[0-3][est]:0.999860906826, [payload]:da, [RSSI]:232 
[0-4][est]:0.999999655151, [payload]:f0, [RSSI]:233 
[0-5][est]:0.999999999145, [payload]:3, [RSSI]:235 
[0-6][est]:0.999999999984, [payload]:0, [RSSI]:235 
[0-7][est]:0.999999999884, [payload]:0, [RSSI]:237 
[0-8][est]:0.999999953329, [payload]:0, [RSSI]:236 
[0-9][est]:0.999981173066, [payload]:0, [RSSI]:234 
[0-10][est]:0.999860906826, [payload]:0, [RSSI]:234 
[0-11][est]:0.992462277233, [payload]:0, [RSSI]:233 
[0-12][est]:0.946863611764, [payload]:0, [RSSI]:233 
[0-13][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-14][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-15][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-16][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-17][est]:0.706887248094, [payload]:d, [RSSI]:232 
[0-18][est]:0.706887248094, [payload]:f0, [RSSI]:232 
[0-19][est]:0.706887248094, [payload]:a, [RSSI]:232 
[0-20][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-21][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-22][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-23][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-24][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-25][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-26][est]:0.946863611764, [payload]:0, [RSSI]:232 
[0-27][est]:0.992462277233, [payload]:0, [RSSI]:232 
[0-28][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-29][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-30][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-31][est]:0.992462277233, [payload]:0, [RSSI]:233 
[0-32][est]:0.946863611764, [payload]:0, [RSSI]:233 
[0-33][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-34][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-35][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-36][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-37][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-38][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-39][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-40][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-41][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-42][est]:0.946863611764, [payload]:0, [RSSI]:232 
[0-43][est]:0.992462277233, [payload]:0, [RSSI]:232 
[0-44][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-45][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-46][est]:0.992462277233, [payload]:0, [RSSI]:233 
[0-47][est]:0.946863611764, [payload]:0, [RSSI]:233 
[0-48][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-49][est]:0.946863611764, [payload]:0, [RSSI]:232 
[0-50][est]:0.992462277233, [payload]:0, [RSSI]:232 
[0-51][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-52][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-53][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-54][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-55][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-56][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-57][est]:0.998973166536, [payload]:0, [RSSI]:233 
[0-58][est]:0.992462277233, [payload]:0, [RSSI]:233 
[0-59][est]:0.946863611764, [payload]:0, [RSSI]:233 
[0-60][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-61][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-62][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-63][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-64][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-65][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-66][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-67][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-68][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-69][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-70][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-71][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-72][est]:0.706887248094, [payload]:0, [RSSI]:232 
[0-73][est]:0.706887248094, [payload]:0, [RSSI]:232 
