[pilot][1-0][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-1][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-2][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-3][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-4][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[1-5][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[1-6][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[1-7][raw_rssi]:233, [spredRSSI]:232, [raw_data]:0
[pilot][1-8][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-9][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-10][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-11][raw_rssi]:232, [spredRSSI]:232, [raw_data]:90
[1-12][raw_rssi]:232, [spredRSSI]:232, [raw_data]:d
[1-13][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[1-14][raw_rssi]:232, [spredRSSI]:233, [raw_data]:0
[1-15][raw_rssi]:232, [spredRSSI]:235, [raw_data]:0
[pilot][1-16][raw_rssi]:232, [spredRSSI]:236, [raw_data]:0
[1-17][raw_rssi]:232, [spredRSSI]:237, [raw_data]:0
[1-18][raw_rssi]:232, [spredRSSI]:237, [raw_data]:0
[1-19][raw_rssi]:233, [spredRSSI]:235, [raw_data]:0
[1-20][raw_rssi]:235, [spredRSSI]:234, [raw_data]:0
[1-21][raw_rssi]:236, [spredRSSI]:232, [raw_data]:0
[1-22][raw_rssi]:237, [spredRSSI]:232, [raw_data]:0
[1-23][raw_rssi]:235, [spredRSSI]:232, [raw_data]:0
[pilot][1-24][raw_rssi]:234, [spredRSSI]:232, [raw_data]:0
[1-25][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-26][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-27][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-28][raw_rssi]:232, [spredRSSI]:232, [raw_data]:f0
[1-29][raw_rssi]:232, [spredRSSI]:232, [raw_data]:dd
[1-30][raw_rssi]:232, [spredRSSI]:232, [raw_data]:a0
[1-31][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][1-32][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-33][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-34][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-35][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-36][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-37][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-38][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-39][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][1-40][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-41][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-42][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-43][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-44][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-45][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-46][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-47][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][1-48][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-49][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-50][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-51][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-52][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-53][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-54][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-55][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][1-56][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-57][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-58][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-59][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-60][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-61][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-62][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-63][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][1-64][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-65][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-66][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-67][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-68][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-69][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-70][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-71][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][1-72][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-73][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-74][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-75][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-76][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-77][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-78][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-79][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[pilot][1-80][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-81][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-82][raw_rssi]:232, [spredRSSI]:232, [raw_data]:0
[1-83][raw_rssi]:7, [spredRSSI]:232, [raw_data]:0
[1-84][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[1-85][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[1-86][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[1-87][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[pilot][1-88][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[1-89][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[1-90][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[1-91][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[1-92][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[1-93][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[1-94][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
[1-95][raw_rssi]:-1, [spredRSSI]:232, [raw_data]:0
